,Actual,Predicted,Difference,ABS Diff
1619,247.717,246.2092486,1.51,1.51
1625,248.761,246.3886775,2.37,2.37
1626,248.748,246.5619045,2.19,2.19
1627,248.749,246.4982568,2.25,2.25
1631,248.062,247.0887293,0.97,0.97
1640,245.206,245.5519597,-0.35,0.35
1642,244.463,244.8050068,-0.34,0.34
1645,243.851,244.942197,-1.09,1.09
1652,245.627,245.1835755,0.44,0.44
1654,244.472,244.9161162,-0.44,0.44
1660,246.335,245.0072776,1.33,1.33
1667,245.216,245.6333932,-0.42,0.42
1677,248.627,246.9241975,1.70,1.70
1691,244.681,244.7320055,-0.05,0.05
1692,245.23,244.9838975,0.25,0.25
1700,244.582,244.9653808,-0.38,0.38
1701,244.82,244.2876736,0.53,0.53
1710,245.594,244.2335575,1.36,1.36
1712,246.272,245.1899559,1.08,1.08
1723,246.779,246.2626388,0.52,0.52
1725,248.444,246.1061655,2.34,2.34
1726,248.812,245.8732975,2.94,2.94
1727,248.772,246.0703184,2.70,2.70
1736,245.599,244.5116687,1.09,1.09
1752,243.846,244.495626,-0.65,0.65
1763,246.562,245.8761527,0.69,0.69
1772,246.096,246.82193,-0.73,0.73
1776,247.025,247.2990922,-0.27,0.27
1781,248.034,245.3255193,2.71,2.71
1787,242.856,244.0050091,-1.15,1.15
1791,244.173,244.188034,-0.02,0.02
1793,244.328,243.7267299,0.60,0.60
1794,243.394,244.3343789,-0.94,0.94
1798,242.664,243.8733623,-1.21,1.21
1810,245.745,244.5513477,1.19,1.19
1820,246.998,246.7693679,0.23,0.23
1822,246.196,247.1978773,-1.00,1.00
1828,248.334,245.4201461,2.91,2.91
1852,244.232,245.0870892,-0.86,0.86
1853,245.15,245.0188257,0.13,0.13
1876,245.727,246.5730732,-0.85,0.85
1890,243.826,243.6864378,0.14,0.14
1892,243.602,244.3240372,-0.72,0.72
1896,244.112,243.8479233,0.26,0.26
1900,244.463,245.5312202,-1.07,1.07
1902,244.97,245.4146883,-0.44,0.44
1907,245.182,245.3971615,-0.22,0.22
1909,245.794,245.7392288,0.05,0.05
